Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-10-15,4.25,4.29,4.25,4.25,81800,0.0,0.0
1991-10-16,4.25,4.25,4.17,4.21,75000,0.0,0.0
1991-10-17,4.17,4.17,4.04,4.04,86400,0.0,0.0
1991-10-18,4.04,4.12,3.95,3.95,118600,0.0,0.0
1991-10-21,3.95,3.95,3.69,3.86,173400,0.0,0.0
1991-10-22,3.82,3.95,3.82,3.91,112000,0.0,0.0
1991-10-23,3.91,3.95,3.91,3.91,18000,0.0,0.0
1991-10-24,3.95,3.95,3.86,3.86,43200,0.0,0.0
1991-10-25,3.82,3.91,3.82,3.86,38800,0.0,0.0
1991-10-28,3.92,3.92,3.87,3.92,14500,0.07913,0.0
1991-10-29,3.87,3.96,3.87,3.96,85300,0.0,0.0
1991-10-30,3.96,4.0,3.92,4.0,63500,0.0,0.0
1991-10-31,4.05,4.05,3.96,4.05,53200,0.0,0.0
1991-11-01,4.09,4.13,4.05,4.13,65900,0.0,0.0
1991-11-04,4.09,4.13,4.05,4.13,43400,0.0,0.0
1991-11-05,4.0,4.13,4.0,4.09,94000,0.0,0.0
1991-11-06,4.05,4.09,4.05,4.05,8300,0.0,0.0
1991-11-07,4.0,4.05,4.0,4.0,35400,0.0,0.0
1991-11-08,4.0,4.13,4.0,4.05,64600,0.0,0.0
1991-11-11,4.05,4.09,4.05,4.09,26700,0.0,0.0
1991-11-12,4.13,4.18,4.09,4.18,153900,0.0,0.0
1991-11-13,4.13,4.35,4.13,4.35,159200,0.0,0.0
1991-11-14,4.35,4.35,4.22,4.22,80900,0.0,0.0
1991-11-15,4.22,4.27,4.13,4.18,43200,0.0,0.0
1991-11-18,4.09,4.18,4.05,4.13,88500,0.0,0.0
1991-11-19,4.09,4.13,3.87,3.96,81700,0.0,0.0
1991-11-20,4.0,4.0,3.74,3.79,136300,0.0,0.0
1991-11-21,3.79,3.83,3.74,3.83,75200,0.0,0.0
1991-11-22,3.83,3.83,3.79,3.83,42000,0.0,0.0
1991-11-25,3.83,3.83,3.74,3.79,104600,0.0,0.0
1991-11-26,3.74,3.74,3.66,3.66,88100,0.0,0.0
