Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-12-11,29.84,31.11,27.12,29.75,3927000,0.0,0
2013-12-12,29.24,29.71,27.98,28.95,1520700,0.0,0
2013-12-13,28.45,28.87,27.51,28.2,937600,0.0,0
2013-12-16,28.2,28.89,27.7,27.7,418200,0.0,0
2013-12-17,27.59,27.7,26.24,26.81,517400,0.0,0
2013-12-18,27.11,28.62,26.23,27.9,700800,0.0,0
2013-12-19,28.0,28.11,27.06,27.47,356900,0.0,0
2013-12-20,27.2,27.74,26.74,26.93,173600,0.0,0
2013-12-23,27.6,29.06,26.72,28.94,416000,0.0,0
2013-12-24,29.19,29.19,28.4,28.66,96300,0.0,0
2013-12-26,28.55,33.99,28.55,33.45,830700,0.0,0
2013-12-27,34.35,36.1,33.16,34.54,738600,0.0,0
2013-12-30,35.67,36.61,33.16,35.49,636900,0.0,0
2013-12-31,35.62,37.48,34.88,36.2,723300,0.0,0
2014-01-02,37.0,37.4,34.62,34.62,546600,0.0,0
2014-01-03,35.4,35.68,32.8,32.89,674500,0.0,0
2014-01-06,30.37,31.9,28.94,31.1,1732200,0.0,0
2014-01-07,31.17,32.64,30.3,31.26,317400,0.0,0
2014-01-08,31.58,34.13,31.53,32.69,512000,0.0,0
2014-01-09,32.69,33.36,31.26,31.39,350700,0.0,0
2014-01-10,31.19,32.67,30.5,30.73,233900,0.0,0
2014-01-13,30.75,32.06,30.21,31.39,253600,0.0,0
2014-01-14,31.53,31.61,30.79,31.33,113400,0.0,0
2014-01-15,31.18,36.49,31.18,35.93,885900,0.0,0
2014-01-16,35.77,38.24,35.17,36.23,463100,0.0,0
2014-01-17,36.79,38.06,35.64,37.13,328100,0.0,0
2014-01-21,37.1,37.1,34.33,35.43,335900,0.0,0
2014-01-22,36.4,36.4,33.75,34.7,393900,0.0,0
2014-01-23,32.93,33.55,31.2,31.65,1094300,0.0,0
2014-01-24,31.61,31.95,29.89,31.72,538400,0.0,0
2014-01-27,31.48,31.53,28.78,29.13,596200,0.0,0
2014-01-28,29.29,31.64,29.29,29.69,642300,0.0,0
2014-01-29,29.48,29.48,28.22,29.11,510300,0.0,0
2014-01-30,29.78,30.64,29.11,30.29,268600,0.0,0
2014-01-31,29.97,32.55,29.11,32.12,426500,0.0,0
2014-02-03,32.16,32.96,31.01,32.31,205900,0.0,0
2014-02-04,32.31,32.31,31.33,31.7,68400,0.0,0
2014-02-05,31.63,31.7,29.87,31.17,197300,0.0,0
2014-02-06,31.17,31.44,30.09,30.45,113100,0.0,0
2014-02-07,30.78,31.53,30.18,30.58,120000,0.0,0
2014-02-10,30.59,31.28,29.88,30.69,164800,0.0,0
2014-02-11,30.8,31.0,30.07,30.59,118300,0.0,0
2014-02-12,30.75,31.6,30.28,31.23,219700,0.0,0
2014-02-13,30.77,33.62,30.43,33.37,327200,0.0,0
2014-02-14,33.35,34.84,32.19,34.04,554200,0.0,0
2014-02-18,34.32,35.84,34.23,35.83,788500,0.0,0
2014-02-19,35.54,36.48,34.83,35.99,525300,0.0,0
2014-02-20,36.03,36.03,34.41,34.89,282400,0.0,0
2014-02-21,34.89,35.1,33.85,34.99,441300,0.0,0
2014-02-24,38.79,40.25,33.93,34.08,1399100,0.0,0
2014-02-25,34.83,36.21,34.06,35.75,600200,0.0,0
2014-02-26,36.17,37.98,35.76,37.93,467400,0.0,0
2014-02-27,38.09,42.76,38.09,42.75,775100,0.0,0
2014-02-28,42.98,45.26,37.62,40.76,805100,0.0,0
2014-03-03,39.32,42.04,38.81,40.94,227600,0.0,0
2014-03-04,42.0,48.23,41.9,47.48,435600,0.0,0
2014-03-05,47.63,51.31,46.75,51.21,620600,0.0,0
2014-03-06,50.95,51.43,48.68,50.18,327700,0.0,0
2014-03-07,51.19,51.19,46.5,48.03,305100,0.0,0
2014-03-10,47.39,47.93,43.04,44.36,672600,0.0,0
2014-03-11,44.52,46.15,41.13,41.51,490600,0.0,0
2014-03-12,40.87,44.22,39.09,42.93,559600,0.0,0
2014-03-13,42.95,43.92,40.77,41.81,239900,0.0,0
2014-03-14,41.55,41.74,39.9,41.0,184900,0.0,0
2014-03-17,41.23,42.28,39.65,41.4,282000,0.0,0
2014-03-18,41.85,45.46,41.48,44.76,358800,0.0,0
2014-03-19,45.16,46.46,43.79,45.15,191500,0.0,0
2014-03-20,44.95,44.95,43.07,43.95,166500,0.0,0
2014-03-21,43.97,44.23,41.08,41.33,277500,0.0,0
2014-03-24,41.91,43.27,39.13,39.57,378600,0.0,0
2014-03-25,40.05,41.05,37.61,40.62,508400,0.0,0
2014-03-26,41.09,41.53,37.84,37.97,363000,0.0,0
2014-03-27,37.6,37.96,34.83,36.23,469700,0.0,0
2014-03-28,36.33,38.37,35.89,37.17,632300,0.0,0
2014-03-31,37.38,39.03,36.62,38.0,359300,0.0,0
2014-04-01,38.02,40.57,37.35,39.43,788600,0.0,0
2014-04-02,40.03,42.23,39.43,39.8,406600,0.0,0
2014-04-03,39.82,39.82,37.11,38.08,392300,0.0,0
2014-04-04,38.12,38.12,36.01,36.37,626400,0.0,0
2014-04-07,36.02,36.02,32.2,33.15,777800,0.0,0
2014-04-08,33.49,36.06,33.49,35.71,516000,0.0,0
2014-04-09,36.18,37.34,34.55,35.51,401200,0.0,0
2014-04-10,35.62,36.77,34.46,34.69,313600,0.0,0
2014-04-11,33.94,35.37,32.96,33.64,1142400,0.0,0
2014-04-14,34.38,35.8,33.39,33.58,183200,0.0,0
2014-04-15,33.5,34.55,30.72,31.01,467800,0.0,0
2014-04-16,32.37,35.56,32.37,35.26,361000,0.0,0
2014-04-17,35.17,35.39,33.65,34.57,122700,0.0,0
2014-04-21,35.24,35.28,33.69,34.84,89900,0.0,0
2014-04-22,34.7,37.09,34.37,36.79,390000,0.0,0
2014-04-23,36.31,37.39,35.52,35.96,554000,0.0,0
2014-04-24,36.19,36.19,32.77,33.23,791100,0.0,0
2014-04-25,32.73,32.97,31.72,32.16,456400,0.0,0
2014-04-28,32.34,33.1,31.1,32.8,450700,0.0,0
2014-04-29,32.85,34.6,32.65,33.23,601200,0.0,0
2014-04-30,33.14,33.19,31.07,31.69,379000,0.0,0
2014-05-01,31.56,33.38,31.47,32.65,202800,0.0,0
2014-05-02,32.43,34.45,32.43,34.04,200300,0.0,0
2014-05-05,33.8,34.13,32.48,34.04,168900,0.0,0
2014-05-06,34.98,34.98,31.26,31.36,482600,0.0,0
2014-05-07,31.36,31.36,28.28,29.12,1321300,0.0,0
2014-05-08,28.93,30.37,28.62,28.69,393900,0.0,0
2014-05-09,28.63,30.02,28.2,29.07,126000,0.0,0
2014-05-12,29.49,34.12,29.49,33.99,655700,0.0,0
2014-05-13,33.82,34.0,30.75,31.04,217600,0.0,0
2014-05-14,31.14,33.12,31.14,32.41,143500,0.0,0
2014-05-15,32.16,32.95,32.16,32.49,90800,0.0,0
2014-05-16,32.46,32.85,31.86,32.45,106800,0.0,0
2014-05-19,32.39,33.49,32.39,33.49,61200,0.0,0
2014-05-20,32.97,33.89,32.65,33.72,125300,0.0,0
2014-05-21,33.64,36.41,33.64,36.02,223400,0.0,0
2014-05-22,36.02,36.02,34.72,35.56,209300,0.0,0
2014-05-23,35.42,35.42,34.48,34.67,82000,0.0,0
2014-05-27,35.12,35.56,34.13,34.77,123200,0.0,0
2014-05-28,34.63,35.45,34.33,34.87,125800,0.0,0
2014-05-29,35.11,35.11,34.33,34.48,248000,0.0,0
2014-05-30,34.48,35.57,33.65,34.33,180500,0.0,0
2014-06-02,34.25,34.25,32.53,32.66,277700,0.0,0
2014-06-03,32.52,34.35,32.16,33.52,470900,0.0,0
2014-06-04,33.3,33.54,32.12,32.66,648200,0.0,0
2014-06-05,33.51,34.48,32.44,34.13,226800,0.0,0
2014-06-06,34.29,35.6,33.75,35.33,683100,0.0,0
2014-06-09,34.63,35.12,33.93,35.0,1907000,0.0,0
2014-06-10,34.63,34.64,33.74,34.27,274400,0.0,0
2014-06-11,34.12,34.23,33.13,34.14,702900,0.0,0
2014-06-12,34.16,34.88,33.52,33.55,869900,0.0,0
2014-06-13,33.74,33.94,33.39,33.73,549900,0.0,0
2014-06-16,33.64,34.04,31.91,33.11,345600,0.0,0
2014-06-17,33.12,33.64,33.12,33.55,165200,0.0,0
2014-06-18,33.6,34.04,33.04,33.69,233900,0.0,0
2014-06-19,33.74,33.74,32.68,32.98,213900,0.0,0
2014-06-20,32.93,33.74,32.93,33.52,207500,0.0,0
2014-06-23,33.46,33.65,32.73,33.53,166500,0.0,0
2014-06-24,33.29,33.64,32.14,32.57,180200,0.0,0
2014-06-25,32.35,32.86,32.2,32.68,141900,0.0,0
2014-06-26,32.82,32.9,31.91,32.65,258100,0.0,0
2014-06-27,32.52,33.06,32.33,32.91,114600,0.0,0
2014-06-30,32.8,34.62,31.8,34.06,511400,0.0,0
2014-07-01,34.34,37.07,34.28,36.89,643500,0.0,0
2014-07-02,36.67,36.97,35.62,36.11,566900,0.0,0
2014-07-03,35.97,36.21,35.62,35.72,134900,0.0,0
2014-07-07,35.43,36.93,35.12,35.58,221100,0.0,0
2014-07-08,35.23,35.97,32.92,32.92,392900,0.0,0
2014-07-09,33.18,33.86,32.65,32.97,82800,0.0,0
2014-07-10,31.76,33.63,31.46,33.14,156200,0.0,0
2014-07-11,33.29,34.13,32.95,33.9,117200,0.0,0
2014-07-14,34.26,34.27,32.97,33.1,122400,0.0,0
2014-07-15,33.14,33.48,32.47,32.74,171900,0.0,0
2014-07-16,33.22,33.46,32.41,32.41,83200,0.0,0
2014-07-17,32.28,32.64,31.51,31.59,212800,0.0,0
2014-07-18,31.81,32.77,31.62,31.95,294100,0.0,0
2014-07-21,31.64,32.3,31.64,32.04,226400,0.0,0
2014-07-22,32.46,33.69,32.41,33.05,280100,0.0,0
2014-07-23,33.43,34.39,33.15,33.64,234300,0.0,0
2014-07-24,34.06,34.28,33.45,33.61,148400,0.0,0
2014-07-25,33.36,34.38,33.36,34.13,275300,0.0,0
2014-07-28,34.13,37.09,34.13,36.9,494900,0.0,0
2014-07-29,37.39,37.84,36.28,36.54,202300,0.0,0
2014-07-30,37.06,37.06,36.35,36.66,129100,0.0,0
2014-07-31,36.11,36.71,35.8,36.66,277100,0.0,0
2014-08-01,36.45,37.87,36.38,37.34,262700,0.0,0
2014-08-04,37.99,42.03,37.84,41.2,658900,0.0,0
2014-08-05,39.77,39.77,37.08,37.38,1370100,0.0,0
2014-08-06,36.83,39.63,36.68,39.36,593300,0.0,0
2014-08-07,36.48,38.42,34.88,37.53,1160300,0.0,0
2014-08-08,38.08,38.41,36.43,38.39,748500,0.0,0
