Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-08-13,20.53,20.85,19.54,20.22,4714900,0.0,0
2015-08-14,20.24,20.8,20.24,20.53,667600,0.0,0
2015-08-17,20.52,20.56,19.87,20.26,234100,0.0,0
2015-08-18,20.06,20.33,19.75,20.31,248900,0.0,0
2015-08-19,20.09,20.22,19.95,19.95,85000,0.0,0
2015-08-20,19.74,19.95,19.64,19.86,123200,0.0,0
2015-08-21,19.81,19.86,19.54,19.58,148900,0.0,0
2015-08-24,18.38,19.24,16.44,19.06,183700,0.0,0
2015-08-25,20.26,20.26,19.18,19.41,116200,0.0,0
2015-08-26,19.13,19.74,18.93,19.33,277300,0.0,0
2015-08-27,19.06,19.8,18.92,19.69,57200,0.0,0
2015-08-28,19.39,19.68,18.97,19.34,214400,0.0,0
2015-08-31,18.95,19.86,18.95,19.86,117900,0.0,0
2015-09-01,19.41,20.23,19.41,19.89,260300,0.0,0
2015-09-02,19.45,20.74,19.45,20.53,232900,0.0,0
2015-09-03,20.23,20.53,20.07,20.41,111000,0.0,0
2015-09-04,20.51,20.6,19.94,20.17,75700,0.0,0
2015-09-08,20.04,20.25,19.51,19.77,198000,0.0,0
2015-09-09,20.13,20.13,19.57,19.83,119700,0.0,0
2015-09-10,19.6,20.06,19.6,19.81,141100,0.0,0
2015-09-11,19.63,19.95,19.46,19.58,65700,0.0,0
2015-09-14,19.9,19.9,18.95,19.21,101000,0.0,0
2015-09-15,19.08,19.99,19.08,19.78,97600,0.0,0
2015-09-16,19.41,19.86,19.36,19.68,162100,0.0,0
2015-09-17,19.42,19.78,19.41,19.75,59300,0.0,0
2015-09-18,19.69,20.0,19.43,19.83,180700,0.0,0
2015-09-21,20.03,20.04,19.41,19.81,160800,0.0,0
2015-09-22,19.56,20.11,19.41,20.07,116600,0.0,0
2015-09-23,20.19,20.31,19.74,20.1,58800,0.0,0
2015-09-24,20.11,20.29,19.8,19.85,171800,0.0,0
2015-09-25,20.08,20.08,19.02,19.3,63200,0.0,0
2015-09-28,18.94,19.14,18.68,18.89,105900,0.0,0
2015-09-29,18.86,19.31,18.69,19.14,107500,0.0,0
2015-09-30,19.31,19.9,18.96,19.68,1919100,0.0,0
2015-10-01,19.66,20.01,19.5,19.75,83600,0.0,0
2015-10-02,19.41,19.7,18.82,19.4,122700,0.0,0
2015-10-05,19.47,20.28,19.47,20.28,268600,0.0,0
2015-10-06,20.17,20.49,19.94,20.09,99400,0.0,0
2015-10-07,20.31,20.84,20.02,20.8,205100,0.0,0
2015-10-08,20.73,20.8,20.1,20.52,92000,0.0,0
2015-10-09,20.35,20.41,20.0,20.09,38400,0.0,0
2015-10-12,20.09,20.14,19.55,19.64,38300,0.0,0
2015-10-13,19.53,20.08,19.31,19.95,67600,0.0,0
2015-10-14,19.92,19.92,19.3,19.49,58200,0.0,0
2015-10-15,19.55,20.17,19.21,20.15,75300,0.0,0
2015-10-16,20.19,20.25,19.22,19.59,67700,0.0,0
2015-10-19,19.45,20.04,19.36,19.96,106800,0.0,0
2015-10-20,19.93,20.02,19.5,19.86,48200,0.0,0
2015-10-21,19.93,20.0,19.59,19.8,97900,0.0,0
2015-10-22,19.78,20.05,19.38,19.59,101600,0.0,0
2015-10-23,19.71,19.82,19.03,19.56,73300,0.0,0
2015-10-26,19.54,19.54,18.95,19.11,162100,0.0,0
2015-10-27,18.99,19.52,18.91,19.42,117400,0.0,0
2015-10-28,18.96,20.29,18.86,20.13,245500,0.0,0
2015-10-29,20.11,20.11,19.19,19.75,105500,0.0,0
2015-10-30,19.71,19.78,19.31,19.78,182000,0.0,0
2015-11-02,19.76,20.15,19.28,19.86,101800,0.0,0
2015-11-03,19.86,19.96,19.69,19.85,103500,0.0,0
2015-11-04,20.52,20.52,19.21,19.7,154500,0.0,0
2015-11-05,19.77,20.31,19.33,20.2,147000,0.0,0
2015-11-06,20.22,20.24,19.9,19.96,116000,0.0,0
2015-11-09,19.99,20.15,19.9,20.05,137000,0.0,0
2015-11-10,19.97,20.26,19.76,20.1,175600,0.0,0
2015-11-11,20.22,20.26,19.82,19.96,66300,0.0,0
2015-11-12,19.86,20.1,19.78,19.95,62100,0.0,0
2015-11-13,19.83,20.15,19.83,20.06,86700,0.0,0
2015-11-16,20.11,20.16,19.95,20.04,60200,0.0,0
2015-11-17,20.08,20.22,19.86,20.07,116300,0.0,0
2015-11-18,20.13,20.25,19.9,20.22,96300,0.0,0
2015-11-19,20.24,20.24,19.94,20.07,72900,0.0,0
2015-11-20,20.16,20.26,20.06,20.08,85600,0.0,0
2015-11-23,20.15,20.47,19.72,20.41,187700,0.0,0
2015-11-24,20.33,21.3,20.23,21.04,138200,0.0,0
2015-11-25,21.07,21.54,21.0,21.33,96400,0.0,0
2015-11-27,21.32,21.75,21.08,21.63,46700,0.0,0
2015-11-30,21.69,22.09,21.43,22.07,129500,0.0,0
2015-12-01,22.12,22.5,22.12,22.36,81900,0.0,0
2015-12-02,22.32,22.56,22.07,22.33,73500,0.15,0
2015-12-03,22.26,22.37,21.67,21.95,67800,0.0,0
2015-12-04,21.96,22.02,21.67,21.88,51100,0.0,0
2015-12-07,21.89,22.43,21.45,21.63,135300,0.0,0
2015-12-08,21.45,21.72,20.77,21.38,92200,0.0,0
2015-12-09,21.33,21.47,21.09,21.21,79000,0.0,0
2015-12-10,21.13,21.5,20.84,20.96,71900,0.0,0
2015-12-11,20.6,21.15,20.52,20.59,98600,0.0,0
2015-12-14,20.66,21.22,20.46,21.08,130800,0.0,0
2015-12-15,21.19,21.59,21.19,21.39,102500,0.0,0
2015-12-16,21.52,22.02,21.52,21.77,132900,0.0,0
2015-12-17,21.88,22.37,20.94,21.17,140300,0.0,0
2015-12-18,21.16,21.69,20.43,20.63,776400,0.0,0
2015-12-21,20.8,21.17,20.59,21.06,103700,0.0,0
2015-12-22,21.2,21.37,20.87,21.24,18700,0.0,0
2015-12-23,21.39,21.78,21.13,21.57,43000,0.0,0
2015-12-24,21.67,21.69,21.61,21.65,12600,0.0,0
2015-12-28,21.62,22.29,21.45,21.98,38800,0.0,0
2015-12-29,22.04,22.35,21.44,22.28,64900,0.0,0
2015-12-30,22.31,23.37,22.05,23.13,50200,0.0,0
2015-12-31,23.12,24.29,22.96,23.8,94100,0.0,0
2016-01-04,23.56,23.57,22.92,22.99,136400,0.0,0
2016-01-05,23.16,23.38,22.06,22.55,168500,0.0,0
2016-01-06,22.24,22.24,21.46,21.5,178400,0.0,0
2016-01-07,21.36,22.21,20.89,21.63,320500,0.0,0
2016-01-08,21.79,21.79,21.04,21.39,77800,0.0,0
2016-01-11,21.57,22.05,21.48,21.98,66400,0.0,0
2016-01-12,22.4,22.57,21.71,22.35,262000,0.0,0
2016-01-13,22.35,22.75,21.68,21.93,134700,0.0,0
2016-01-14,21.99,22.66,21.88,22.26,154300,0.0,0
2016-01-15,21.74,22.24,21.37,22.08,177600,0.0,0
2016-01-19,22.28,22.35,21.18,21.42,229000,0.0,0
2016-01-20,21.11,21.78,20.35,21.5,107500,0.0,0
2016-01-21,21.54,21.7,21.33,21.41,114700,0.0,0
2016-01-22,21.74,21.74,21.43,21.65,94200,0.0,0
2016-01-25,21.58,21.6,21.35,21.44,64400,0.0,0
2016-01-26,21.49,21.58,21.0,21.16,157000,0.0,0
2016-01-27,20.81,21.16,20.71,20.99,93100,0.0,0
2016-01-28,21.1,21.19,20.51,21.05,88400,0.0,0
2016-01-29,21.13,21.97,21.13,21.93,122800,0.0,0
2016-02-01,21.88,22.08,21.35,22.02,110000,0.0,0
2016-02-02,21.74,21.96,21.01,21.25,139100,0.0,0
2016-02-03,21.34,21.46,20.35,20.8,125600,0.0,0
2016-02-04,20.86,21.67,20.46,21.46,110300,0.0,0
2016-02-05,21.43,21.61,21.07,21.19,87600,0.0,0
2016-02-08,21.08,21.69,20.6,21.38,187300,0.0,0
2016-02-09,20.2,23.23,20.2,21.28,374000,0.0,0
2016-02-10,21.32,22.38,21.32,22.11,107800,0.0,0
2016-02-11,21.68,22.27,21.42,21.82,88700,0.0,0
2016-02-12,22.01,22.09,21.54,21.88,49300,0.0,0
2016-02-16,22.08,22.34,21.88,22.24,67300,0.0,0
2016-02-17,22.36,22.62,21.87,22.02,129400,0.0,0
2016-02-18,22.0,22.33,21.55,21.78,78300,0.0,0
2016-02-19,21.83,22.63,21.8,22.36,126300,0.0,0
2016-02-22,22.58,22.58,22.14,22.29,43400,0.0,0
2016-02-23,22.17,22.34,21.65,22.19,111700,0.0,0
2016-02-24,21.94,22.33,21.58,22.15,105300,0.0,0
2016-02-25,22.23,22.37,21.78,22.25,117200,0.0,0
2016-02-26,22.34,22.69,22.04,22.28,56100,0.0,0
2016-02-29,22.3,23.69,22.3,23.21,129100,0.0,0
2016-03-01,23.25,23.38,22.95,23.14,295200,0.0,0
2016-03-02,23.12,23.48,23.01,23.34,57300,0.15,0
2016-03-03,23.25,23.43,22.9,23.29,259500,0.0,0
2016-03-04,23.38,23.38,22.64,22.65,97100,0.0,0
2016-03-07,22.54,22.74,21.78,21.95,138700,0.0,0
2016-03-08,22.12,22.14,21.37,21.37,196300,0.0,0
2016-03-09,21.49,22.57,21.49,22.46,80300,0.0,0
2016-03-10,22.6,22.88,22.31,22.77,92500,0.0,0
2016-03-11,22.82,23.67,22.82,23.47,106600,0.0,0
2016-03-14,23.41,23.41,22.75,22.9,106200,0.0,0
2016-03-15,22.85,22.85,22.02,22.08,45700,0.0,0
2016-03-16,22.14,22.14,21.51,21.83,55100,0.0,0
2016-03-17,21.77,23.09,21.48,22.84,78700,0.0,0
2016-03-18,22.98,22.98,22.52,22.84,281400,0.0,0
2016-03-21,22.97,23.41,22.77,22.83,89300,0.0,0
2016-03-22,22.66,22.96,22.44,22.85,45000,0.0,0
2016-03-23,22.81,22.81,22.12,22.19,99600,0.0,0
2016-03-24,22.01,22.37,21.52,22.2,233900,0.0,0
2016-03-28,22.21,22.34,21.48,21.7,268200,0.0,0
2016-03-29,21.73,22.78,21.49,22.62,196700,0.0,0
2016-03-30,22.64,22.88,22.45,22.74,89200,0.0,0
2016-03-31,22.77,22.92,22.69,22.74,43400,0.0,0
2016-04-01,22.53,22.76,22.35,22.64,38500,0.0,0
2016-04-04,22.56,22.65,22.31,22.5,26000,0.0,0
2016-04-05,22.39,22.56,21.44,21.63,99100,0.0,0
2016-04-06,21.71,22.52,21.57,22.34,56100,0.0,0
2016-04-07,22.41,22.57,22.01,22.17,42300,0.0,0
2016-04-08,22.39,22.57,22.01,22.37,63500,0.0,0
2016-04-11,22.45,22.45,21.96,22.19,42800,0.0,0
2016-04-12,22.13,22.76,21.87,22.03,38100,0.0,0
2016-04-13,22.08,22.76,22.08,22.65,46500,0.0,0
2016-04-14,22.72,23.03,22.64,22.74,24300,0.0,0
2016-04-15,22.64,22.95,22.64,22.73,20900,0.0,0
2016-04-18,22.55,23.17,22.51,23.03,37800,0.0,0
2016-04-19,22.71,22.86,22.6,22.67,24900,0.0,0
2016-04-20,22.66,23.06,22.44,22.99,26300,0.0,0
2016-04-21,22.78,23.14,22.78,23.05,24900,0.0,0
2016-04-22,23.06,23.22,22.84,23.06,110600,0.0,0
2016-04-25,23.14,23.33,22.19,22.42,47000,0.0,0
2016-04-26,22.54,23.09,22.54,23.06,28600,0.0,0
2016-04-27,23.05,23.06,22.71,22.99,34700,0.0,0
2016-04-28,23.0,23.1,22.77,22.82,24600,0.0,0
2016-04-29,22.42,23.2,22.42,23.03,52300,0.0,0
2016-05-02,23.02,23.16,22.52,22.72,42800,0.0,0
2016-05-03,22.5,22.97,22.05,22.29,31900,0.0,0
2016-05-04,22.21,22.64,21.98,22.05,29600,0.0,0
