Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-07-22,17.24,17.57,16.93,17.37,261400,0,0
2011-07-25,17.14,18.0,16.95,17.75,770100,0,0
2011-07-26,17.77,18.05,16.91,17.11,705800,0,0
2011-07-27,15.0,15.27,13.35,13.54,1009100,0,0
2011-07-28,13.49,13.51,12.4,12.58,496000,0,0
2011-07-29,12.53,12.83,12.04,12.69,568500,0,0
2011-08-01,12.77,12.84,11.68,12.06,605700,0,0
2011-08-02,11.92,12.53,11.92,11.99,684800,0,0
2011-08-03,11.9,12.08,11.45,12.03,360000,0,0
2011-08-04,11.8,12.38,11.16,11.18,496200,0,0
2011-08-05,11.0,11.0,9.98,10.32,716700,0,0
2011-08-08,10.0,10.09,8.37,8.7,1082800,0,0
2011-08-09,9.0,9.87,8.6,9.52,631100,0,0
2011-08-10,9.24,9.32,8.37,8.4,860300,0,0
2011-08-11,8.52,10.13,8.44,9.71,407100,0,0
2011-08-12,10.32,10.53,9.84,9.96,385700,0,0
2011-08-15,10.19,10.5,10.17,10.28,415900,0,0
2011-08-16,10.14,10.2,9.63,9.91,268700,0,0
2011-08-17,9.97,10.59,9.97,10.17,467600,0,0
2011-08-18,9.8,9.94,9.26,9.54,409200,0,0
2011-08-19,9.35,9.74,9.05,9.12,372000,0,0
2011-08-22,9.39,9.51,9.13,9.27,440600,0,0
2011-08-23,9.39,11.1,9.25,10.5,509900,0,0
2011-08-24,8.06,8.06,7.13,7.2,3446400,0,0
2011-08-25,7.15,8.08,7.15,7.61,1034600,0,0
2011-08-26,7.54,8.09,7.46,7.99,642100,0,0
2011-08-29,8.18,8.59,7.92,8.33,1081100,0,0
2011-08-30,8.28,8.62,7.98,8.34,408800,0,0
2011-08-31,8.46,8.62,8.04,8.04,650900,0,0
2011-09-01,8.14,8.21,7.79,7.9,559300,0,0
2011-09-02,7.6,8.14,7.6,8.11,388200,0,0
2011-09-06,7.7,8.08,7.65,7.87,310900,0,0
2011-09-07,8.07,8.44,7.97,8.34,223200,0,0
2011-09-08,8.14,8.53,7.88,7.97,363800,0,0
2011-09-09,7.82,8.18,7.66,7.9,409200,0,0
2011-09-12,8.21,8.77,8.21,8.69,534200,0,0
2011-09-13,8.71,9.52,8.71,9.45,529800,0,0
2011-09-14,9.63,9.96,9.5,9.69,575400,0,0
2011-09-15,9.73,9.85,9.07,9.3,851400,0,0
2011-09-16,9.41,9.49,8.98,9.18,778600,0,0
2011-09-19,8.97,9.59,8.82,9.21,600500,0,0
2011-09-20,9.37,9.48,9.03,9.1,332700,0,0
2011-09-21,9.06,9.12,8.5,8.53,380700,0,0
2011-09-22,8.23,8.74,8.05,8.51,608900,0,0
2011-09-23,8.52,8.99,8.44,8.73,203000,0,0
2011-09-26,8.79,8.99,8.47,8.99,178400,0,0
2011-09-27,9.25,9.69,9.16,9.34,582100,0,0
2011-09-28,9.34,9.41,8.61,8.62,258200,0,0
2011-09-29,8.82,9.06,8.44,8.83,298200,0,0
2011-09-30,8.64,8.98,8.56,8.77,372600,0,0
2011-10-03,8.54,8.72,7.92,8.01,668600,0,0
2011-10-04,7.86,8.39,7.71,8.35,490700,0,0
2011-10-05,8.54,8.76,8.32,8.5,241900,0,0
2011-10-06,8.49,8.82,8.47,8.62,556300,0,0
2011-10-07,8.66,8.83,8.32,8.39,185200,0,0
2011-10-10,8.59,8.98,8.59,8.81,428200,0,0
2011-10-11,8.76,9.98,8.71,9.82,578600,0,0
2011-10-12,9.91,10.62,9.72,10.29,697100,0,0
2011-10-13,10.19,10.38,10.03,10.08,419900,0,0
2011-10-14,10.28,10.4,9.96,10.09,253300,0,0
2011-10-17,9.73,10.11,9.57,9.7,327500,0,0
2011-10-18,9.82,10.2,9.57,10.12,253000,0,0
2011-10-19,10.12,10.95,10.03,10.39,691400,0,0
2011-10-20,10.39,10.39,9.39,9.64,525900,0,0
2011-10-21,9.86,9.9,9.36,9.61,197200,0,0
2011-10-24,9.64,10.3,9.64,10.04,362400,0,0
2011-10-25,9.95,10.3,9.71,10.08,268400,0,0
2011-10-26,10.4,10.82,9.85,10.54,563800,0,0
2011-10-27,10.16,12.39,10.16,12.13,1024900,0,0
2011-10-28,11.62,12.25,11.62,11.9,330300,0,0
2011-10-31,11.67,11.67,11.03,11.04,265500,0,0
2011-11-01,10.44,11.31,10.22,11.2,402600,0,0
2011-11-02,11.36,11.57,10.86,10.92,223900,0,0
2011-11-03,11.07,11.7,10.8,11.63,208800,0,0
2011-11-04,11.49,12.06,11.15,11.95,175900,0,0
2011-11-07,11.9,11.98,11.34,11.69,203600,0,0
2011-11-08,11.81,11.81,11.1,11.53,198300,0,0
2011-11-09,11.24,11.33,10.85,10.9,187100,0,0
2011-11-10,11.17,11.17,10.75,10.81,115100,0,0
2011-11-11,10.93,11.5,10.89,11.36,178200,0,0
2011-11-14,11.3,11.42,10.96,11.3,143400,0,0
2011-11-15,11.25,11.84,11.05,11.74,169500,0,0
2011-11-16,11.61,12.21,11.57,11.73,274000,0,0
2011-11-17,11.68,11.68,10.8,10.91,235000,0,0
2011-11-18,10.93,11.11,10.65,10.71,226400,0,0
2011-11-21,10.48,10.58,10.05,10.25,161100,0,0
2011-11-22,10.25,10.29,9.96,9.98,109000,0,0
2011-11-23,9.93,9.93,9.08,9.19,252600,0,0
2011-11-25,9.11,9.25,8.95,8.98,70000,0,0
2011-11-28,9.37,9.93,9.37,9.68,360700,0,0
2011-11-29,9.67,9.94,9.62,9.72,101200,0,0
2011-11-30,10.19,10.87,10.19,10.79,241500,0,0
2011-12-01,10.76,10.76,10.23,10.48,176600,0,0
2011-12-02,10.66,11.0,10.57,10.95,104100,0,0
2011-12-05,11.0,11.62,10.8,11.51,362700,0,0
2011-12-06,11.51,12.06,11.42,11.85,203300,0,0
2011-12-07,11.78,11.87,11.34,11.74,139900,0,0
2011-12-08,11.61,12.18,11.57,11.81,393300,0,0
2011-12-09,11.87,12.72,11.69,12.58,308700,0,0
2011-12-12,12.35,12.35,11.48,12.13,317000,0,0
2011-12-13,12.26,12.32,11.64,11.77,290900,0,0
2011-12-14,11.67,11.75,11.15,11.4,232700,0,0
2011-12-15,11.57,11.57,10.8,11.17,197400,0,0
2011-12-16,11.27,12.01,11.27,11.51,366000,0,0
2011-12-19,11.59,11.7,11.01,11.01,77300,0,0
2011-12-20,11.32,11.71,11.3,11.63,206600,0,0
2011-12-21,11.56,11.56,10.77,11.12,139300,0,0
2011-12-22,11.14,11.9,11.1,11.83,81800,0,0
2011-12-23,11.84,12.18,11.72,12.1,76000,0,0
2011-12-27,12.04,12.43,12.01,12.41,128300,0,0
2011-12-28,12.35,12.4,11.84,11.93,86000,0,0
2011-12-29,12.02,12.1,11.65,12.03,102300,0,0
2011-12-30,11.97,12.07,11.63,11.96,112600,0,0
2012-01-03,12.15,12.48,12.05,12.28,172600,0,0
2012-01-04,12.21,12.71,12.16,12.66,176100,0,0
2012-01-05,12.49,12.98,12.29,12.63,151400,0,0
2012-01-06,12.66,13.15,12.33,12.78,232900,0,0
2012-01-09,12.86,13.24,12.52,12.61,250600,0,0
2012-01-10,12.75,12.75,12.13,12.18,248200,0,0
2012-01-11,12.13,13.08,12.1,13.03,117200,0,0
2012-01-12,13.1,13.14,12.63,12.65,220900,0,0
2012-01-13,12.5,12.62,12.05,12.11,117300,0,0
2012-01-17,12.25,12.25,11.59,11.61,141500,0,0
2012-01-18,11.63,12.44,11.5,12.34,211000,0,0
2012-01-19,12.41,12.67,12.26,12.29,216300,0,0
2012-01-20,12.31,13.53,12.25,13.48,271300,0,0
2012-01-23,13.57,13.74,13.09,13.58,132400,0,0
2012-01-24,13.41,14.44,13.23,14.25,195600,0,0
2012-01-25,14.28,14.75,13.99,14.58,296400,0,0
2012-01-26,14.7,15.92,14.52,15.84,1151200,0,0
2012-01-27,15.71,16.03,15.5,15.68,623600,0,0
2012-01-30,15.5,15.5,15.02,15.13,526300,0,0
2012-01-31,15.34,15.44,14.31,14.67,269800,0,0
2012-02-01,14.6,15.02,14.12,14.8,584800,0,0
2012-02-02,14.89,16.87,14.67,15.8,770100,0,0
2012-02-03,16.2,16.94,15.88,15.91,419400,0,0
2012-02-06,15.78,16.0,15.51,15.58,150700,0,0
2012-02-07,15.45,15.49,14.63,15.37,202000,0,0
2012-02-08,15.34,15.93,15.25,15.37,292500,0,0
2012-02-09,15.4,15.5,15.03,15.09,192300,0,0
2012-02-10,14.93,15.16,14.63,14.76,186800,0,0
2012-02-13,14.93,15.17,14.82,15.0,283600,0,0
2012-02-14,14.93,15.17,14.58,15.17,111900,0,0
2012-02-15,15.19,15.82,14.93,15.46,357900,0,0
2012-02-16,15.42,16.05,15.28,15.97,262400,0,0
2012-02-17,15.97,16.0,15.33,15.82,200000,0,0
2012-02-21,15.84,16.0,15.3,15.36,184000,0,0
2012-02-22,15.29,15.53,15.02,15.04,69100,0,0
2012-02-23,15.05,15.05,14.62,14.72,219900,0,0
2012-02-24,14.71,14.77,13.99,14.14,254800,0,0
2012-02-27,14.0,14.1,13.44,13.96,301600,0,0
2012-02-28,13.95,14.15,13.26,13.48,265000,0,0
2012-02-29,13.59,15.0,13.49,14.36,728400,0,0
2012-03-01,14.31,14.85,14.27,14.67,388800,0,0
2012-03-02,14.61,14.76,14.17,14.18,210900,0,0
2012-03-05,14.1,14.1,13.5,13.53,216900,0,0
2012-03-06,13.45,13.55,13.0,13.43,253100,0,0
2012-03-07,13.6,14.17,13.42,13.87,171300,0,0
2012-03-08,14.12,14.39,13.7,14.29,212500,0,0
2012-03-09,14.42,14.65,14.28,14.53,151900,0,0
2012-03-12,14.67,14.67,14.22,14.47,185500,0,0
2012-03-13,14.63,14.99,14.55,14.89,184300,0,0
2012-03-14,14.8,14.99,14.56,14.57,148300,0,0
2012-03-15,14.58,14.79,14.3,14.68,128500,0,0
2012-03-16,14.65,14.69,14.08,14.25,257100,0,0
2012-03-19,14.28,14.82,14.25,14.58,199800,0,0
2012-03-20,14.49,14.57,14.12,14.4,103800,0,0
2012-03-21,14.4,14.4,14.0,14.13,131600,0,0
2012-03-22,13.97,14.07,13.52,13.58,263300,0,0
2012-03-23,13.65,14.34,13.58,14.2,135100,0,0
2012-03-26,14.2,14.3,14.08,14.16,162000,0,0
2012-03-27,14.06,14.4,14.03,14.08,176300,0,0
2012-03-28,14.05,14.11,13.84,14.04,93300,0,0
2012-03-29,13.96,14.16,13.91,14.08,108100,0,0
2012-03-30,14.22,14.25,13.95,14.18,245700,0,0
2012-04-02,14.14,14.61,14.03,14.61,281300,0,0
2012-04-03,14.53,14.64,14.12,14.21,220300,0,0
2012-04-04,14.04,14.1,13.06,13.19,286400,0,0
2012-04-05,13.14,13.51,13.14,13.3,119600,0,0
2012-04-09,13.03,13.15,12.34,12.67,406200,0,0
2012-04-10,12.65,12.86,12.51,12.63,151900,0,0
2012-04-11,12.8,13.69,12.8,13.46,120500,0,0
2012-04-12,13.48,13.67,13.39,13.48,143000,0,0
2012-04-13,13.45,13.51,13.06,13.26,109400,0,0
2012-04-16,13.39,13.58,13.05,13.19,455100,0,0
2012-04-17,13.47,13.76,13.31,13.35,254800,0,0
2012-04-18,13.3,13.35,12.98,12.98,152300,0,0
2012-04-19,12.98,14.48,12.98,14.0,922600,0,0
2012-04-20,14.16,14.56,13.68,14.42,314500,0,0
2012-04-23,14.47,14.79,13.82,13.96,763500,0,0
2012-04-24,14.01,14.09,13.51,13.69,338700,0,0
2012-04-25,10.86,12.0,9.75,9.8,3083300,0,0
2012-04-26,9.75,9.99,9.52,9.57,819000,0,0
2012-04-27,9.63,10.61,9.51,10.45,1021300,0,0
2012-04-30,10.19,10.43,9.9,10.15,526900,0,0
2012-05-01,10.14,10.26,10.1,10.2,311100,0,0
2012-05-02,10.08,10.29,9.98,10.27,211000,0,0
2012-05-03,10.24,10.26,10.1,10.15,384400,0,0
2012-05-04,10.26,10.5,9.89,10.02,614200,0,0
2012-05-07,9.86,10.12,9.86,10.05,302700,0,0
2012-05-08,10.0,10.02,9.66,9.81,231900,0,0
2012-05-09,9.63,9.78,9.59,9.66,249600,0,0
2012-05-10,9.82,9.83,9.33,9.39,264000,0,0
2012-05-11,9.29,9.39,9.05,9.24,303800,0,0
2012-05-14,9.09,9.17,8.9,8.94,146000,0,0
2012-05-15,8.97,9.1,8.94,8.99,265500,0,0
2012-05-16,9.0,9.02,8.47,8.5,222000,0,0
2012-05-17,8.55,8.63,8.32,8.34,261000,0,0
2012-05-18,8.3,8.51,8.15,8.29,323000,0,0
2012-05-21,8.32,8.48,8.25,8.47,173900,0,0
2012-05-22,8.45,8.58,8.33,8.43,210200,0,0
2012-05-23,8.3,8.37,8.17,8.25,274600,0,0
2012-05-24,8.27,8.32,8.05,8.12,189900,0,0
2012-05-25,8.21,8.52,8.11,8.47,395900,0,0
2012-05-29,8.59,8.82,8.52,8.69,178900,0,0
2012-05-30,8.6,8.67,8.33,8.58,186000,0,0
2012-05-31,8.56,8.59,8.16,8.31,438100,0,0
2012-06-01,8.12,8.22,7.99,8.1,209500,0,0
2012-06-04,8.6,9.73,8.6,8.82,753100,0,0
2012-06-05,8.81,9.14,8.42,8.64,657600,0,0
2012-06-06,8.7,8.99,8.7,8.73,230700,0,0
2012-06-07,8.87,8.91,8.44,8.49,307900,0,0
2012-06-08,8.44,8.69,8.26,8.61,133100,0,0
2012-06-11,8.75,8.75,8.1,8.12,121700,0,0
2012-06-12,8.16,8.69,8.0,8.56,283500,0,0
2012-06-13,8.57,8.7,8.27,8.4,107900,0,0
2012-06-14,8.46,8.46,8.14,8.29,125100,0,0
2012-06-15,8.25,8.54,8.21,8.47,251300,0,0
2012-06-18,8.37,8.63,8.34,8.44,180400,0,0
2012-06-19,8.46,9.12,8.43,9.08,149600,0,0
2012-06-20,9.05,9.3,8.97,9.17,104100,0,0
2012-06-21,9.17,9.17,8.6,8.63,145100,0,0
2012-06-22,8.7,9.1,8.65,9.1,743000,0,0
2012-06-25,8.88,8.9,8.6,8.73,184200,0,0
2012-06-26,8.79,9.07,8.69,8.91,134100,0,0
2012-06-27,9.28,9.28,8.68,8.7,136100,0,0
2012-06-28,8.6,8.82,8.53,8.61,69800,0,0
2012-06-29,8.84,9.51,8.73,9.48,250000,0,0
2012-07-02,9.51,9.51,8.8,9.2,149600,0,0
2012-07-03,9.25,9.44,9.03,9.44,202000,0,0
2012-07-05,9.4,9.58,9.26,9.54,125300,0,0
2012-07-06,9.39,9.39,9.06,9.15,63600,0,0
2012-07-09,9.12,9.36,9.12,9.22,146300,0,0
2012-07-10,9.27,9.54,9.09,9.3,242200,0,0
2012-07-11,9.35,9.53,9.26,9.43,223200,0,0
2012-07-12,9.31,9.49,9.28,9.34,201000,0,0
2012-07-13,9.4,9.4,9.1,9.18,93200,0,0
2012-07-16,9.14,9.14,8.89,8.93,52800,0,0
2012-07-17,9.02,9.02,8.59,8.67,82400,0,0
2012-07-18,8.66,9.45,8.66,9.35,263300,0,0
2012-07-19,9.46,9.79,9.29,9.69,276200,0,0
2012-07-20,9.57,9.57,9.03,9.21,156000,0,0
2012-07-23,8.96,9.15,8.75,8.82,249300,0,0
2012-07-24,8.84,8.97,8.69,8.93,192900,0,0
2012-07-25,8.89,9.22,8.8,8.92,236300,0,0
2012-07-26,9.38,10.59,9.34,10.47,724800,0,0
2012-07-27,10.5,11.46,10.47,11.23,317200,0,0
2012-07-30,11.22,11.79,11.06,11.07,305600,0,0
2012-07-31,10.91,11.71,10.91,11.0,249900,0,0
2012-08-01,11.07,11.15,10.44,10.45,152400,0,0
2012-08-02,10.42,10.74,10.11,10.25,174700,0,0
2012-08-03,10.5,10.85,10.45,10.81,141300,0,0
2012-08-06,10.81,11.61,10.71,11.04,419200,0,0
2012-08-07,11.14,11.36,10.39,10.76,362900,0,0
2012-08-08,10.89,11.21,9.79,10.93,544000,0,0
2012-08-09,10.89,11.11,10.7,10.98,543300,0,0
2012-08-10,10.83,11.0,10.1,10.84,551100,0,0
2012-08-13,10.77,11.0,10.47,10.74,186100,0,0
2012-08-14,10.82,11.0,10.64,10.97,182800,0,0
2012-08-15,10.74,11.0,10.68,10.83,191300,0,0
2012-08-16,10.86,11.5,10.69,11.43,208500,0,0
2012-08-17,11.39,11.64,11.29,11.64,82700,0,0
2012-08-20,11.59,11.59,11.29,11.43,116500,0,0
2012-08-21,11.44,11.88,11.16,11.4,206900,0,0
2012-08-22,11.36,11.41,10.96,10.99,88800,0,0
2012-08-23,10.97,11.25,10.79,11.19,112200,0,0
2012-08-24,11.2,11.32,11.01,11.27,65200,0,0
2012-08-27,11.34,11.73,11.06,11.68,184900,0,0
2012-08-28,11.65,11.91,11.54,11.9,207500,0,0
2012-08-29,11.88,11.93,11.47,11.92,115500,0,0
2012-08-30,11.8,11.93,11.49,11.9,249100,0,0
2012-08-31,11.97,12.1,11.65,11.88,307300,0,0
2012-09-04,11.81,12.04,11.38,11.8,368200,0,0
2012-09-05,11.71,11.93,11.5,11.51,88800,0,0
2012-09-06,11.62,12.04,11.62,11.97,233500,0,0
2012-09-07,12.04,12.12,11.8,11.84,268400,0,0
2012-09-10,11.81,12.07,11.66,11.76,100000,0,0
2012-09-11,11.79,11.9,11.63,11.77,95300,0,0
2012-09-12,11.83,11.91,11.28,11.35,175400,0,0
2012-09-13,11.41,11.9,11.29,11.79,116000,0,0
2012-09-14,11.9,12.25,11.85,11.97,308600,0,0
2012-09-17,11.97,12.15,11.55,11.84,146300,0,0
2012-09-18,11.74,11.74,11.25,11.33,300800,0,0
2012-09-19,11.29,11.29,10.98,11.03,255300,0,0
2012-09-20,10.94,10.98,10.46,10.5,353100,0,0
2012-09-21,10.67,10.67,10.17,10.27,399900,0,0
2012-09-24,10.2,10.3,10.05,10.12,144700,0,0
2012-09-25,10.2,10.27,9.68,9.7,319800,0,0
2012-09-26,9.7,10.38,9.47,10.36,274700,0,0
2012-09-27,10.43,10.67,10.29,10.41,231300,0,0
2012-09-28,10.33,10.82,10.3,10.66,362800,0,0
2012-10-01,10.71,10.81,10.33,10.58,218600,0,0
2012-10-02,10.65,10.84,10.55,10.66,170400,0,0
2012-10-03,10.62,10.93,10.4,10.43,177600,0,0
2012-10-04,10.5,10.52,10.11,10.37,177800,0,0
2012-10-05,10.41,10.56,10.34,10.38,115100,0,0
2012-10-08,10.3,10.54,10.24,10.34,128900,0,0
2012-10-09,10.32,10.42,9.74,9.84,143800,0,0
2012-10-10,9.84,9.84,9.19,9.23,266200,0,0
2012-10-11,9.33,9.45,9.3,9.37,77500,0,0
2012-10-12,9.36,9.36,9.15,9.23,77600,0,0
2012-10-15,9.28,9.5,9.19,9.5,120000,0,0
2012-10-16,9.53,9.56,9.35,9.37,191700,0,0
2012-10-17,9.23,9.43,9.13,9.4,208000,0,0
2012-10-18,9.29,9.35,9.11,9.14,268600,0,0
2012-10-19,9.05,9.07,8.5,8.62,175200,0,0
2012-10-22,8.62,9.08,8.62,8.93,124300,0,0
2012-10-23,8.81,8.92,8.68,8.7,112200,0,0
2012-10-24,8.78,8.85,8.5,8.77,219100,0,0
2012-10-25,8.9,8.9,8.37,8.51,141400,0,0
2012-10-26,8.55,8.83,8.55,8.78,120900,0,0
2012-10-31,8.76,8.78,8.29,8.37,195500,0,0
2012-11-01,8.41,8.69,8.35,8.4,391300,0,0
2012-11-02,8.27,8.58,8.18,8.37,620600,0,0
2012-11-05,8.27,8.46,8.2,8.34,377500,0,0
