Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-23,23.97,24.66,23.27,23.45,34094000,0.0,0.0
2014-01-24,23.53,23.53,22.34,22.53,8034700,0.0,0.0
2014-01-27,22.55,23.26,22.51,23.08,3540900,0.0,0.0
2014-01-28,22.93,23.95,22.74,23.91,2766700,0.0,0.0
2014-01-29,23.54,24.01,23.35,23.84,2946100,0.0,0.0
2014-01-30,23.94,24.29,23.79,23.98,1122300,0.0,0.0
2014-01-31,23.59,24.09,23.37,23.85,678800,0.0,0.0
2014-02-03,24.16,24.16,23.49,23.5,1113400,0.0,0.0
2014-02-04,23.45,23.7,23.04,23.44,961500,0.0,0.0
2014-02-05,23.36,23.73,23.24,23.53,775500,0.0,0.0
2014-02-06,23.64,23.64,22.91,23.01,1151100,0.0,0.0
2014-02-07,22.85,23.35,22.62,23.34,838100,0.0,0.0
2014-02-10,23.36,23.47,23.04,23.47,660700,0.0,0.0
2014-02-11,23.3,23.68,23.22,23.62,344100,0.0,0.0
2014-02-12,23.56,23.66,23.31,23.51,313100,0.0,0.0
2014-02-13,23.27,23.74,23.11,23.72,704800,0.0,0.0
2014-02-14,23.71,23.82,23.48,23.65,546100,0.0,0.0
2014-02-18,23.66,23.91,23.52,23.73,477200,0.0,0.0
2014-02-19,23.96,23.96,23.44,23.6,306700,0.0,0.0
2014-02-20,23.52,23.77,23.42,23.67,587000,0.0,0.0
2014-02-21,24.01,24.01,23.52,23.59,472700,0.0,0.0
2014-02-24,23.57,23.76,23.35,23.53,546800,0.0,0.0
2014-02-25,23.5,23.71,23.22,23.32,1876200,0.0,0.0
2014-02-26,23.34,23.43,23.03,23.14,488800,0.0,0.0
2014-02-27,23.12,23.39,22.73,23.16,763800,0.0,0.0
2014-02-28,23.2,23.86,23.2,23.57,754800,0.0,0.0
2014-03-03,23.51,24.16,23.19,24.11,925200,0.0,0.0
2014-03-04,24.41,24.54,23.7,23.74,1286800,0.0,0.0
2014-03-05,23.7,24.05,22.94,23.27,1369900,0.0,0.0
2014-03-06,23.22,23.37,22.69,23.02,2145600,0.0,0.0
2014-03-07,23.17,23.23,22.75,22.75,1771900,0.0,0.0
2014-03-10,22.81,22.99,22.59,22.69,1066100,0.0,0.0
2014-03-11,22.8,22.83,21.8,22.28,2242000,0.0,0.0
