Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-08-19,30.82,31.27,30.42,31.17,107400,0,0.0
2013-08-20,31.24,31.41,31.04,31.39,265200,0,0.0
2013-08-21,31.38,32.05,31.12,31.5,106600,0,0.0
2013-08-22,32.83,32.83,31.26,31.5,76800,0,0.0
2013-08-23,31.53,31.58,31.16,31.43,107800,0,0.0
2013-08-26,31.4,32.42,31.38,32.15,66200,0,0.0
2013-08-27,31.81,32.21,30.74,30.8,176600,0,0.0
2013-08-28,30.9,31.65,30.9,31.0,51400,0,0.0
2013-08-29,30.66,32.32,30.66,31.76,48400,0,0.0
2013-08-30,31.66,31.97,30.88,31.17,106800,0,0.0
2013-09-03,31.65,32.47,30.69,31.88,123800,0,0.0
2013-09-04,32.0,32.24,31.25,31.5,94600,0,0.0
2013-09-05,31.08,32.87,31.08,32.66,88200,0,0.0
2013-09-06,32.95,33.01,32.19,32.72,45200,0,0.0
2013-09-09,32.75,34.34,32.74,34.31,134600,0,0.0
2013-09-10,34.56,34.85,33.73,34.06,79200,0,0.0
2013-09-11,33.88,34.8,33.88,34.65,98400,0,0.0
2013-09-12,34.73,34.9,33.67,33.68,59000,0,0.0
2013-09-13,33.84,34.58,33.42,33.81,36400,0,0.0
2013-09-16,34.35,34.4,33.54,33.65,69000,0,0.0
2013-09-17,33.73,36.1,33.6,36.09,109000,0,0.0
2013-09-18,35.83,36.62,35.19,36.29,90800,0,0.0
2013-09-19,36.49,36.76,35.89,36.56,115200,0,0.0
2013-09-20,36.62,36.76,34.69,35.44,269800,0,0.0
2013-09-23,35.49,35.69,34.42,35.12,111000,0,0.0
2013-09-24,35.24,36.12,34.78,35.53,113200,0,0.0
2013-09-25,35.47,35.47,34.03,34.22,120000,0,0.0
2013-09-26,34.4,34.59,33.56,34.04,152200,0,0.0
2013-09-27,33.72,34.01,33.59,33.65,75000,0,0.0
2013-09-30,33.33,33.67,32.32,33.46,141600,0,0.0
2013-10-01,33.55,34.46,32.85,34.17,62000,0,0.0
2013-10-02,34.62,34.74,33.53,33.8,60800,0,0.0
2013-10-03,33.83,33.94,32.85,32.99,67000,0,0.0
2013-10-04,32.91,33.62,32.27,33.15,45400,0,0.0
2013-10-07,32.87,33.38,31.31,31.66,76800,0,0.0
2013-10-08,31.75,31.82,31.26,31.56,99600,0,0.0
2013-10-09,31.78,32.2,31.5,32.01,98800,0,0.0
2013-10-10,32.56,34.42,32.36,34.33,63600,0,0.0
2013-10-11,34.13,35.69,33.82,34.99,67400,0,0.0
2013-10-14,34.95,36.28,34.78,36.15,67600,0,0.0
2013-10-15,35.98,36.42,35.98,36.13,90000,0,0.0
2013-10-16,36.49,37.0,36.04,36.19,90800,0,0.0
2013-10-17,35.9,38.01,35.9,37.42,59200,0,0.0
2013-10-18,37.92,39.03,37.22,38.99,110600,0,0.0
2013-10-21,38.99,39.33,38.45,39.22,119800,0,0.0
2013-10-22,39.34,39.51,37.69,37.78,66000,0,0.0
2013-10-23,37.44,37.77,36.88,36.99,115000,0,0.0
2013-10-24,37.17,37.52,37.0,37.0,134200,0,0.0
2013-10-25,39.99,39.99,37.72,38.94,317200,0,0.0
2013-10-28,38.85,39.42,37.6,37.99,133200,0,0.0
2013-10-29,38.22,38.22,37.26,37.75,134400,0,0.0
2013-10-30,37.88,38.06,35.94,36.44,191400,0,0.0
2013-10-31,35.81,36.19,34.07,34.08,304600,0,0.0
2013-11-01,34.02,34.02,32.47,33.37,286600,0,0.0
2013-11-04,33.5,35.69,33.12,34.85,330800,0,0.0
2013-11-05,34.74,34.86,34.31,34.65,59800,0,0.0
2013-11-06,34.92,34.92,33.79,34.13,51800,0,0.0
2013-11-07,34.42,34.42,33.12,33.5,87000,0,0.0
2013-11-08,33.48,33.92,33.19,33.44,71200,0,0.0
2013-11-11,33.26,33.5,32.94,33.24,58400,0,0.0
2013-11-12,33.22,33.37,32.69,33.17,145800,0,0.0
2013-11-13,33.12,34.46,33.0,33.99,110400,0,0.0
2013-11-14,33.9,34.13,32.54,32.98,109200,0,0.0
2013-11-15,32.93,37.92,32.53,36.6,298000,0,0.0
2013-11-18,36.92,36.99,34.74,35.01,111200,0,0.0
2013-11-19,34.71,36.1,33.81,34.62,86200,0,0.0
2013-11-20,33.5,33.59,31.25,31.6,952400,0,0.0
2013-11-21,31.89,32.49,31.69,31.87,233400,0,0.0
2013-11-22,31.98,32.0,30.18,30.58,292600,0,0.0
2013-11-25,30.58,32.12,30.49,32.01,165800,0,0.0
2013-11-26,31.96,32.74,31.54,32.67,122200,0,0.0
2013-11-27,32.61,33.24,32.6,33.2,106000,0,0.0
2013-11-29,33.25,33.5,32.6,32.88,123800,0,0.0
2013-12-02,32.9,33.3,32.56,32.9,146800,0,0.0
2013-12-03,32.79,33.12,31.88,32.19,284200,0,0.0
2013-12-04,31.95,32.42,31.02,31.49,98000,0,0.0
2013-12-05,31.41,31.45,31.14,31.26,79800,0,0.0
2013-12-06,31.7,33.0,31.14,32.83,151200,0,0.0
2013-12-09,32.96,33.0,32.1,32.97,150600,0,0.0
2013-12-10,32.85,33.49,32.85,33.26,259200,0,0.0
2013-12-11,33.4,33.96,33.21,33.49,385400,0,0.0
2013-12-12,33.24,33.6,31.93,32.28,198400,0,0.0
2013-12-13,32.35,32.92,32.09,32.4,75200,0,0.0
2013-12-16,32.68,33.0,32.21,32.88,195000,0,0.0
2013-12-17,32.7,32.7,31.92,32.23,63000,0,0.0
2013-12-18,32.2,32.25,31.56,32.0,147000,0,0.0
2013-12-19,32.03,32.32,31.51,31.56,97200,0,0.0
2013-12-20,31.7,33.66,31.67,33.42,697800,0,0.0
2013-12-23,33.69,33.69,32.67,33.47,145400,0,0.0
2013-12-24,33.65,33.85,33.49,33.83,71000,0,0.0
2013-12-26,33.86,34.79,33.79,34.52,175600,0,0.0
2013-12-27,34.67,34.67,33.5,33.74,66800,0,0.0
2013-12-30,34.09,34.09,32.9,32.97,82600,0,0.0
2013-12-31,32.85,32.85,32.12,32.65,400200,0,0.0
2014-01-02,32.62,32.7,31.96,32.2,162400,0,0.0
2014-01-03,32.28,32.38,31.01,31.52,175800,0,0.0
2014-01-06,31.73,32.65,31.27,32.51,148800,0,0.0
2014-01-07,32.76,33.83,32.49,33.54,147800,0,0.0
2014-01-08,33.38,34.92,33.35,34.28,243000,0,0.0
2014-01-09,34.44,34.5,33.46,33.8,129400,0,0.0
2014-01-10,33.7,33.74,32.06,32.49,98000,0,0.0
2014-01-13,32.3,32.42,31.04,31.69,76800,0,0.0
2014-01-14,31.91,33.31,31.8,32.92,71400,0,0.0
2014-01-15,32.95,33.2,31.03,31.45,309800,0,0.0
2014-01-16,31.46,34.5,31.07,34.4,284400,0,0.0
2014-01-17,34.3,34.46,33.2,33.74,199400,0,0.0
2014-01-21,33.92,33.92,33.11,33.36,145000,0,0.0
2014-01-22,33.49,34.19,33.08,34.19,161400,0,0.0
2014-01-23,33.9,34.12,33.44,34.04,150800,0,0.0
2014-01-24,33.79,33.89,33.08,33.44,150200,0,0.0
2014-01-27,33.65,33.83,32.8,33.17,199800,0,0.0
2014-01-28,33.16,33.47,32.81,32.96,118800,0,0.0
