Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-04-08,18.12,18.12,17.75,17.9,11700,0.0,0.0
1996-04-09,17.82,17.9,16.86,16.86,27300,0.0,0.0
1996-04-10,16.71,17.01,16.71,16.93,36200,0.0,0.0
1996-04-11,16.86,16.93,16.71,16.86,26200,0.0,0.0
1996-04-12,16.79,16.79,16.42,16.56,7400,0.0,0.0
1996-04-15,16.56,16.71,16.56,16.64,47000,0.0,0.0
1996-04-16,16.64,16.64,16.12,16.34,52600,0.0,0.0
1996-04-17,16.27,16.42,16.19,16.42,7900,0.0,0.0
1996-04-18,16.56,16.56,16.49,16.56,2300,0.0,0.0
1996-04-19,16.56,16.56,16.34,16.42,4400,0.0,0.0
1996-04-22,16.27,16.49,16.27,16.34,9800,0.0,0.0
1996-04-23,16.19,16.42,16.12,16.12,31400,0.0,0.0
1996-04-24,16.05,16.12,15.9,16.05,15800,0.0,0.0
1996-04-25,15.83,16.12,15.83,15.97,43800,0.0,0.0
1996-04-26,16.12,16.19,15.97,16.19,107500,0.0,0.0
1996-04-29,16.19,16.19,15.97,15.97,52500,0.0,0.0
1996-04-30,15.97,16.12,15.97,15.97,60200,0.0,0.0
1996-05-01,15.97,16.12,15.97,16.05,7200,0.0,0.0
1996-05-02,16.01,16.15,16.01,16.08,41000,0.18,0.0
1996-05-03,16.15,16.15,16.01,16.01,10000,0.0,0.0
1996-05-06,16.08,16.08,15.71,15.71,104000,0.0,0.0
1996-05-07,15.78,15.86,15.63,15.63,87400,0.0,0.0
1996-05-08,15.71,15.78,15.48,15.78,20700,0.0,0.0
1996-05-09,15.78,15.93,15.48,15.48,25500,0.0,0.0
1996-05-10,15.63,15.63,15.48,15.48,10300,0.0,0.0
1996-05-13,15.56,15.63,15.26,15.34,22000,0.0,0.0
1996-05-14,15.34,15.56,15.34,15.48,18500,0.0,0.0
1996-05-15,15.34,15.56,15.19,15.41,180600,0.0,0.0
