Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-05-05,8.15,8.3,8.13,8.25,907000,0.0,0.0
1997-05-06,8.27,8.32,8.22,8.27,536600,0.0,0.0
1997-05-07,7.69,7.84,7.57,7.67,747300,0.0,0.0
1997-05-08,7.6,7.74,7.12,7.26,2761400,0.0,0.0
1997-05-09,7.21,7.41,7.21,7.26,880900,0.0,0.0
1997-05-12,7.26,7.41,7.21,7.26,501600,0.0,0.0
1997-05-13,7.21,7.31,7.21,7.21,420600,0.0,0.0
1997-05-14,7.31,7.41,7.31,7.36,391900,0.0,0.0
1997-05-15,7.36,7.55,7.36,7.55,580000,0.0,0.0
1997-05-16,7.5,7.6,7.45,7.45,189800,0.0,0.0
1997-05-19,7.45,7.55,7.45,7.55,728400,0.0,0.0
1997-05-20,7.5,7.65,7.5,7.65,201000,0.0,0.0
1997-05-21,7.65,7.69,7.6,7.69,322000,0.0,0.0
1997-05-22,7.74,7.74,7.62,7.69,625400,0.0,0.0
1997-05-23,7.72,7.84,7.69,7.74,216400,0.0,0.0
1997-05-27,7.79,7.84,7.74,7.79,212000,0.0,0.0
1997-05-28,7.79,7.84,7.79,7.81,183500,0.0,0.0
1997-05-29,7.79,7.84,7.74,7.79,192100,0.0,0.0
1997-05-30,7.65,7.84,7.6,7.84,188900,0.0,0.0
1997-06-02,7.89,8.08,7.84,8.08,260700,0.0,0.0
1997-06-03,8.08,8.22,8.03,8.18,590000,0.0,0.0
1997-06-04,8.18,8.18,8.08,8.08,350900,0.0,0.0
1997-06-05,8.08,8.22,8.08,8.22,338300,0.0,0.0
1997-06-06,8.2,8.34,8.2,8.3,482600,0.0,0.0
1997-06-09,8.27,8.42,8.27,8.42,149300,0.0,0.0
1997-06-10,8.42,8.51,8.37,8.42,475300,0.0,0.0
1997-06-11,8.42,8.42,8.18,8.18,287900,0.0,0.0
1997-06-12,8.13,8.18,8.03,8.08,380500,0.0,0.0
1997-06-13,8.18,8.22,8.08,8.13,508700,0.0,0.0
1997-06-16,8.18,8.18,8.03,8.03,285100,0.0,0.0
1997-06-17,7.96,8.03,7.93,8.03,708000,0.0,0.0
1997-06-18,8.05,8.15,8.01,8.05,418700,0.0,0.0
1997-06-19,8.08,8.46,8.08,8.42,223100,0.0,0.0
1997-06-20,8.56,8.56,8.37,8.42,632400,0.0,0.0
1997-06-23,8.46,8.66,8.42,8.51,315400,0.0,0.0
1997-06-24,8.51,8.61,8.34,8.34,487400,0.0,0.0
1997-06-25,8.34,8.37,8.16,8.27,232900,0.0,0.0
1997-06-26,8.32,8.34,8.18,8.25,141500,0.0,0.0
1997-06-27,8.22,8.25,8.13,8.13,97700,0.0,0.0
1997-06-30,8.1,8.37,8.1,8.13,275600,0.0,0.0
1997-07-01,8.18,8.49,8.18,8.42,174900,0.0,0.0
1997-07-02,8.13,8.27,8.13,8.27,275300,0.0,0.0
1997-07-03,8.27,8.27,8.18,8.2,212900,0.0,0.0
1997-07-07,8.22,8.27,8.18,8.22,419100,0.0,0.0
1997-07-08,8.22,8.22,8.08,8.08,222000,0.0,0.0
1997-07-09,8.27,8.27,7.98,7.98,340600,0.0,0.0
1997-07-10,8.05,8.2,7.96,8.2,513300,0.0,0.0
1997-07-11,8.2,8.22,8.13,8.18,306300,0.0,0.0
1997-07-14,8.18,8.2,8.12,8.14,206300,0.0,0.0
1997-07-15,8.12,8.22,8.12,8.18,188400,0.0,0.0
1997-07-16,8.08,8.27,8.08,8.12,189800,0.0,0.0
1997-07-17,8.12,8.13,7.91,8.04,322700,0.0,0.0
